
injection: 311, rbf_PE_time: 1.58 minutes, sim_time: 4.27 minutes
injection: 312, rbf_PE_time: 1.75 minutes, sim_time: 4.54 minutes
injection: 313, rbf_PE_time: 1.71 minutes, sim_time: 4.40 minutes
injection: 314, rbf_PE_time: 1.96 minutes, sim_time: 4.46 minutes
injection: 315, rbf_PE_time: 1.74 minutes, sim_time: 4.41 minutes
injection: 316, rbf_PE_time: 2.09 minutes, sim_time: 4.82 minutes
injection: 317, rbf_PE_time: 1.57 minutes, sim_time: 4.11 minutes
injection: 318, rbf_PE_time: 2.08 minutes, sim_time: 4.43 minutes
injection: 319, rbf_PE_time: 1.76 minutes, sim_time: 4.42 minutes
injection: 320, rbf_PE_time: 1.69 minutes, sim_time: 4.29 minutes
injection: 321, rbf_PE_time: 1.84 minutes, sim_time: 4.28 minutes
injection: 322, rbf_PE_time: 1.91 minutes, sim_time: 4.74 minutes
injection: 323, rbf_PE_time: 1.61 minutes, sim_time: 4.39 minutes
injection: 324, rbf_PE_time: 1.77 minutes, sim_time: 4.20 minutes
injection: 325, rbf_PE_time: 1.99 minutes, sim_time: 4.30 minutes
injection: 326, rbf_PE_time: 1.55 minutes, sim_time: 4.33 minutes
injection: 327, rbf_PE_time: 1.96 minutes, sim_time: 4.53 minutes
injection: 328, rbf_PE_time: 1.87 minutes, sim_time: 5.68 minutes
injection: 329, rbf_PE_time: 1.80 minutes, sim_time: 4.67 minutes
injection: 330, rbf_PE_time: 1.72 minutes, sim_time: 4.47 minutes
injection: 331, rbf_PE_time: 1.71 minutes, sim_time: 4.17 minutes
injection: 332, rbf_PE_time: 2.00 minutes, sim_time: 4.39 minutes
injection: 333, rbf_PE_time: 1.80 minutes, sim_time: 4.49 minutes
injection: 334, rbf_PE_time: 2.26 minutes, sim_time: 4.73 minutes
injection: 335, rbf_PE_time: 1.94 minutes, sim_time: 4.29 minutes
injection: 336, rbf_PE_time: 2.02 minutes, sim_time: 4.96 minutes
injection: 337, rbf_PE_time: 2.54 minutes, sim_time: 5.13 minutes
injection: 338, rbf_PE_time: 1.61 minutes, sim_time: 4.00 minutes
injection: 339, rbf_PE_time: 1.66 minutes, sim_time: 4.01 minutes
injection: 340, rbf_PE_time: 2.03 minutes, sim_time: 4.70 minutes
injection: 341, rbf_PE_time: 1.84 minutes, sim_time: 4.53 minutes
injection: 342, rbf_PE_time: 1.79 minutes, sim_time: 4.35 minutes
injection: 343, rbf_PE_time: 2.03 minutes, sim_time: 4.59 minutes
injection: 344, rbf_PE_time: 1.74 minutes, sim_time: 4.36 minutes
injection: 345, rbf_PE_time: 1.94 minutes, sim_time: 4.33 minutes
injection: 346, rbf_PE_time: 1.90 minutes, sim_time: 4.62 minutes
injection: 347, rbf_PE_time: 1.71 minutes, sim_time: 4.24 minutes
injection: 348, rbf_PE_time: 1.69 minutes, sim_time: 3.93 minutes
injection: 349, rbf_PE_time: 1.74 minutes, sim_time: 4.03 minutes
injection: 350, rbf_PE_time: 1.90 minutes, sim_time: 4.67 minutes
injection: 351, rbf_PE_time: 2.15 minutes, sim_time: 4.85 minutes
injection: 352, rbf_PE_time: 1.68 minutes, sim_time: 4.16 minutes
injection: 353, rbf_PE_time: 1.67 minutes, sim_time: 4.24 minutes
injection: 354, rbf_PE_time: 1.63 minutes, sim_time: 3.91 minutes
injection: 355, rbf_PE_time: 2.15 minutes, sim_time: 4.53 minutes
injection: 356, rbf_PE_time: 2.14 minutes, sim_time: 4.73 minutes
injection: 357, rbf_PE_time: 1.64 minutes, sim_time: 4.24 minutes
injection: 358, rbf_PE_time: 2.55 minutes, sim_time: 4.96 minutes
injection: 359, rbf_PE_time: 1.67 minutes, sim_time: 3.91 minutes
injection: 360, rbf_PE_time: 1.97 minutes, sim_time: 4.54 minutes
injection: 361, rbf_PE_time: 1.78 minutes, sim_time: 4.42 minutes
injection: 362, rbf_PE_time: 2.05 minutes, sim_time: 4.49 minutes
injection: 363, rbf_PE_time: 1.74 minutes, sim_time: 4.36 minutes
injection: 364, rbf_PE_time: 2.20 minutes, sim_time: 4.83 minutes
injection: 365, rbf_PE_time: 2.13 minutes, sim_time: 4.54 minutes
injection: 366, rbf_PE_time: 1.86 minutes, sim_time: 4.72 minutes
injection: 367, rbf_PE_time: 2.31 minutes, sim_time: 4.96 minutes
